date,scale
2022-01-01,0.5
2022-01-03,0.5
2022-01-03,1
2022-01-03,1
2022-01-03,1
2022-01-04,1
2022-01-04,1
2022-01-04,1
2022-01-05,1
2022-01-05,1
2022-01-05,1
2022-01-05,1
2022-01-06,1
2022-01-06,1
2022-01-06,1
2022-01-06,1
2022-01-06,1
2022-01-06,0.5
2022-01-07,0.5
2022-01-07,1
2022-01-07,1
2022-01-07,1
2022-01-08,0.5
2022-01-08,1
2022-01-08,1
2022-01-08,1
2022-01-08,1
2022-01-10,0.5
2022-01-10,1
2022-01-10,1
2022-01-10,1
2022-01-11,1
2022-01-11,1
2022-01-11,1
2022-01-11,1
2022-01-12,1
2022-01-12,1
2022-01-12,1
2022-01-12,0.5
2022-01-13,1
2022-01-13,1
2022-01-13,1
2022-01-14,1
2022-01-14,1
2022-01-14,1
2022-01-14,0.5
2022-01-15,1
2022-01-15,1
2022-01-15,1
2022-01-15,1
2022-01-17,1
2022-01-17,1
2022-01-17,1
2022-01-17,1
2022-01-18,1
2022-01-18,1
2022-01-18,1
2022-01-18,1
2022-01-19,1
2022-01-19,1
2022-01-19,1
2022-01-19,1
2022-01-20,1
2022-01-20,1
2022-01-20,1
2022-01-20,1
2022-01-20,1
2022-01-20,1
2022-01-20,0.5
2022-01-22,1
2022-01-22,1
2022-01-22,1
2022-01-22,1
2022-01-22,1
2022-01-23,1
2022-01-23,1
2022-01-23,1
2022-01-23,1
2022-01-23,1
2022-01-23,1
2022-01-23,0.5
2022-01-24,1
2022-01-24,1
2022-01-24,1
2022-01-24,0.5
2022-01-25,1
2022-01-25,1
2022-01-25,1
2022-01-25,1
2022-01-25,1
2022-01-26,1
2022-01-26,1
2022-01-26,1
2022-01-26,1
2022-01-26,1
2022-01-26,1
2022-01-26,1
2022-01-27,1
2022-01-27,1
2022-01-27,1
2022-01-27,1
2022-01-27,1
2022-01-27,0.5
2022-01-28,1
2022-01-28,1
2022-01-28,1
2022-01-28,0.5
2022-01-30,1
2022-01-30,1
2022-01-30,1
2022-01-30,1
2022-01-31,1
2022-01-31,1
2022-01-31,1
2022-01-31,0.5
2022-02-02,1
2022-02-02,1
2022-02-02,1
2022-02-02,1
2022-02-02,0.5
2022-02-03,1
2022-02-03,1
2022-02-03,1
2022-02-03,1
2022-02-03,1
2022-02-04,1
2022-02-04,1
2022-02-04,1
2022-02-04,1
2022-02-04,1
2022-02-04,1
2022-02-04,1
2022-02-05,1
2022-02-05,1
2022-02-05,1
2022-02-06,1
2022-02-06,1
2022-02-06,1
2022-02-06,1
2022-02-06,1
2022-02-06,0.5
2022-02-08,1
2022-02-08,1
2022-02-08,1
2022-02-08,1
2022-02-08,1
2022-02-09,1
2022-02-09,1
2022-02-09,1
2022-02-09,1
2022-02-09,1
2022-02-09,1
2022-02-09,0.5
2022-02-10,1
2022-02-10,1
2022-02-10,1
2022-02-10,1
