date,scale
2022-01-01,0.5
2022-01-02,0.0
2022-01-03,3.5
2022-01-04,3.0
2022-01-05,4.0
2022-01-06,5.5
2022-01-07,3.5
2022-01-08,4.5
2022-01-09,0.0
2022-01-10,3.5
2022-01-11,4.0
2022-01-12,3.5
2022-01-13,3.0
2022-01-14,3.5
2022-01-15,4.0
2022-01-16,0.0
2022-01-17,4.0
2022-01-18,4.0
2022-01-19,4.0
2022-01-20,6.5
2022-01-21,0.0
2022-01-22,5.0
2022-01-23,6.5
2022-01-24,3.5
2022-01-25,5.0
2022-01-26,7.0
2022-01-27,5.5
2022-01-28,3.5
2022-01-29,0.0
2022-01-30,4.0
2022-01-31,3.5
2022-02-01,0.0
2022-02-02,4.5
2022-02-03,5.0
2022-02-04,7.0
2022-02-05,3.0
2022-02-06,5.5
2022-02-07,0.0
2022-02-08,5.0
2022-02-09,6.5
2022-02-10,5.0
2022-02-11,4.0
2022-02-12,0.0
2022-02-13,7.0
2022-02-14,5.5
2022-02-15,4.0
2022-02-16,7.0
2022-02-17,5.0
2022-02-18,0.0
2022-02-19,7.0
2022-02-20,6.5
2022-02-21,3.0
2022-02-22,5.0
2022-02-23,0.0
2022-02-24,4.0
2022-02-25,5.0
2022-02-26,7.0
2022-02-27,5.5
2022-02-28,3.5
2022-03-01,7.0
2022-03-02,0.0
2022-03-03,4.0
2022-03-04,3.5
2022-03-05,4.5
2022-03-06,4.0
2022-03-07,0.0
2022-03-08,5.5
2022-03-09,6.5
2022-03-10,3.0
2022-03-11,5.0
2022-03-12,0.0
2022-03-13,5.0
2022-03-14,4.0
2022-03-15,6.5
2022-03-16,4.0
2022-03-17,0.0
2022-03-18,3.5
2022-03-19,5.5
2022-03-20,7.0
2022-03-21,4.0
2022-03-22,0.0
2022-03-23,4.0
2022-03-24,6.0
2022-03-25,6.0
2022-03-26,3.5
2022-03-27,0.0
2022-03-28,5.0
2022-03-29,7.0
2022-03-30,3.0
2022-03-31,4.0
2022-04-01,0.0
2022-04-02,5.5
2022-04-03,6.5
2022-04-04,3.0
2022-04-05,5.0
2022-04-06,0.0
2022-04-07,5.0
2022-04-08,4.0
2022-04-09,6.0
2022-04-10,4.0
2022-04-11,0.0
2022-04-12,3.5
2022-04-13,5.5
2022-04-14,7.0
2022-04-15,4.0
2022-04-16,0.0
2022-04-17,4.0
2022-04-18,6.0
2022-04-19,6.0
2022-04-20,3.5
2022-04-21,0.0
2022-04-22,5.0
2022-04-23,6.5
2022-04-24,3.0
2022-04-25,4.0
2022-04-26,0.0
2022-04-27,5.5
2022-04-28,6.5
2022-04-29,3.0
2022-04-30,5.0
2022-05-01,0.0
2022-05-02,5.0
2022-05-03,4.0
2022-05-04,6.5
2022-05-05,4.0
2022-05-06,0.0
2022-05-07,3.5
2022-05-08,5.5
2022-05-09,4.0
2022-05-10,0.0
2022-05-11,5.5
2022-05-12,6.5
2022-05-13,3.0
2022-05-14,5.0
2022-05-15,0.0
2022-05-16,5.0
2022-05-17,4.0
2022-05-18,6.5
2022-05-19,4.0
2022-05-20,0.0
2022-05-21,3.5
2022-05-22,5.5
2022-05-23,7.0
2022-05-24,4.0
2022-05-25,0.0
2022-05-26,4.0
2022-05-27,6.0
2022-05-28,6.0
2022-05-29,3.5
2022-05-30,0.0
2022-05-31,7.0
2022-06-01,7.5
2022-06-02,3.0
2022-06-03,4.0
2022-06-04,0.0
2022-06-05,5.5
2022-06-06,6.5
2022-06-07,3.0
2022-06-08,5.0
2022-06-09,0.0
2022-06-10,5.0
2022-06-11,4.0
2022-06-12,6.5
2022-06-13,4.0
2022-06-14,0.0
2022-06-15,3.5
2022-06-16,6.5
2022-06-17,7.0
2022-06-18,4.0
2022-06-19,0.0
2022-06-20,4.0
2022-06-21,6.0
2022-06-22,6.0
2022-06-23,3.5
2022-06-24,0.0
2022-06-25,5.0
2022-06-26,6.5
2022-06-27,3.0
2022-06-28,4.0
2022-06-29,0.0
2022-06-30,5.5
2022-07-01,6.5
2022-07-02,3.0
2022-07-03,5.0
2022-07-04,0.0
2022-07-05,5.0
2022-07-06,4.0
2022-07-07,6.5
2022-07-08,4.0
2022-07-09,0.0
2022-07-10,3.5
2022-07-11,5.5
